Shipment ID,Client Name,Origin,Destination,Mode,Estimated Departure,Estimated Arrival,Status
9ac88e9d-3f68-488b-ad97-e4595680a260,Dendreon Pharmaceutical LLC,"Port of Los Angeles Los Angeles, CA","6301 Silver Dart Dr, Mississauga, ON L5P 1B2, Canada",Rail ,1/22/19,2/19/19,Roll-Over
438eefdf-95c2-47e6-b539-0ab2ba76aea6,Microsoft,"Keflavíkurflugvöllur, 235 Keflavík, Iceland",Hugo Eckener Ring 60549 Frankfurt,Rail ,1/7/19,2/7/19,Cancelled
8493d235-4d7b-4f5c-9459-fa87398207ae,Avalyn Pharma,"New Udaan Bhawan, New Delhi 110037, INDIA","7-4 Deptford Rd, Singapore 759657",Rail ,4/9/19,5/11/19,Customs Hold
938ba7e8-5632-4c10-bd8a-563e6d1d937f,Dendreon Pharmaceutical LLC,"Keflavíkurflugvöllur, 235 Keflavík, Iceland",Victoria Harbour 維多利亞港 Hong Kong,Rail ,1/29/19,2/26/19,Cancelled
d0e70f89-afc0-4889-a050-c8dca4b11cbc,Alarwi,"Edvard Munchs veg, 2061 Gardermoen, Norway","Helsinki Airport, Lentäjäntie 3, 01530 Vantaa, FINLAND",Rail ,1/11/19,2/5/19,Cancelled
132bfb78-13d3-4854-af53-a3cf85bb8a7f,Avalyn Pharma,"New Udaan Bhawan, New Delhi 110037, INDIA","Helsinki Airport, Lentäjäntie 3, 01530 Vantaa, FINLAND",Sea ,3/23/19,4/24/19,TransportError
1575c496-6a2d-41dc-996f-9c3bbcb88037,Broko,"10000 W O'Hare Ave, Chicago, IL 60666","7-4 Deptford Rd, Singapore 759657",Rail ,4/16/19,5/7/19,In Transit
8ec3ce24-67fc-4916-aa3d-adb9650cc769,The Pike Brewing Company,"482 Pier T Ave, Long Beach, CA 90802","Port of Los Angeles Los Angeles, CA",Air ,4/28/19,5/19/19,TransportError
371cbd15-0d0d-49f8-863a-8333e94c2f35,Broko,"New Udaan Bhawan, New Delhi 110037, INDIA","95700 Roissy-en-France, France",Rail ,4/13/19,5/10/19,In Transit
a0d5c2b2-74b8-4915-8488-45b64ad72144,Broko,"Keflavíkurflugvöllur, 235 Keflavík, Iceland","New Udaan Bhawan, New Delhi 110037, INDIA",Rail ,2/24/19,3/18/19,In Transit
1e68ef95-a71b-419c-a201-1060ab0e6802,REI Seattle Flagship Store,"Av de la Hispanidad, s/n, 28042 Madrid, Spain","New Udaan Bhawan, New Delhi 110037, INDIA",Air ,1/12/19,2/6/19,Cancelled
8156b3ef-7bf3-48e1-9d02-7054de091358,Sapphire Running,Hugo Eckener Ring 60549 Frankfurt,"6000 N Terminal Pkwy, Atlanta, GA 30320",Air ,2/20/19,3/24/19,In Transit
3ce5d35a-a09a-4b7e-8dbf-2fdf20621c76,Broko,Hugo Eckener Ring 60549 Frankfurt,Victoria Harbour 維多利亞港 Hong Kong,Rail ,3/25/19,4/23/19,In Transit
e6098094-a0e5-40b1-ac6b-3688e64a88ce,Sapphire Running,"482 Pier T Ave, Long Beach, CA 90802","Helsinki Airport, Lentäjäntie 3, 01530 Vantaa, FINLAND",Air ,4/9/19,5/5/19,In Transit
b4cf758a-f696-4a13-a68d-065911f9933d,Sapphire Running,"New Udaan Bhawan, New Delhi 110037, INDIA","Port of Los Angeles Los Angeles, CA",Air ,2/3/19,3/3/19,Customs Hold
d1ebd3e8-2b71-4604-bbb9-c9050ded8852,REI Seattle Flagship Store,Hugo Eckener Ring 60549 Frankfurt,"6000 N Terminal Pkwy, Atlanta, GA 30320",Rail ,3/26/19,4/21/19,Customs Hold
65fb5e79-c9a4-43eb-86b1-0424f8088f52,The Pike Brewing Company,"Keflavíkurflugvöllur, 235 Keflavík, Iceland","482 Pier T Ave, Long Beach, CA 90802",Rail ,2/21/19,3/15/19,Customs Hold
a5482222-a598-4cd2-8a8d-c416f9702741,The Pike Brewing Company,"Av de la Hispanidad, s/n, 28042 Madrid, Spain","6000 N Terminal Pkwy, Atlanta, GA 30320",Sea ,4/15/19,5/14/19,Customs Hold
c998e634-135e-4d2d-84f5-3ca89a9fcb66,Microsoft,"New Udaan Bhawan, New Delhi 110037, INDIA",Hugo Eckener Ring 60549 Frankfurt,Air ,3/5/19,4/3/19,Customs Hold
